                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.42837,                0.65942,                 1.0897,                0.78399,                0.87201,                0.91331,                0.84409,                0.37294,                0.69428,                0.81702,             0.00085436,             0.00085436,             0.00085436
                     37,                 0.4266,                0.63351,                 1.0864,                0.86234,                0.85695,                0.92121,                0.85079,                0.40944,                0.62488,                0.84004,             0.00084703,             0.00084703,             0.00084703
                     38,                0.43755,                0.63386,                 1.0864,                0.84831,                0.84378,                0.92357,                  0.863,                0.37425,                0.64369,                0.81594,             0.00083969,             0.00083969,             0.00083969
                     39,                0.43008,                0.64268,                 1.0894,                0.87882,                0.87025,                0.93535,                0.87631,                0.36282,                0.57596,                0.81437,             0.00083236,             0.00083236,             0.00083236
                     40,                0.42675,                0.63411,                 1.0904,                0.88352,                0.86895,                0.92387,                0.87616,                0.33938,                0.56006,                0.78093,             0.00082503,             0.00082503,             0.00082503
                     41,                0.41062,                0.61819,                 1.0756,                0.89347,                0.83015,                0.91519,                0.85132,                0.37995,                0.62866,                 0.8214,              0.0008177,              0.0008177,              0.0008177
                     42,                0.41799,                0.63318,                 1.0764,                0.81182,                0.88174,                0.92109,                0.86784,                0.35697,                0.60073,                 0.7991,             0.00081036,             0.00081036,             0.00081036
                     43,                0.41303,                0.59624,                 1.0748,                0.79432,                0.88316,                0.90954,                0.85387,                0.34677,                0.60809,                0.78442,             0.00080303,             0.00080303,             0.00080303
                     44,                 0.4192,                0.62874,                 1.0797,                0.86846,                0.83099,                0.91132,                 0.8488,                0.38528,                0.62843,                0.83922,              0.0007957,              0.0007957,              0.0007957
                     45,                0.42893,                0.60381,                 1.0921,                0.85925,                0.80968,                0.89107,                0.83286,                0.37059,                 0.6833,                0.80426,             0.00078837,             0.00078837,             0.00078837
                     46,                0.41141,                0.60613,                 1.0781,                0.85621,                0.82234,                0.92299,                0.86205,                0.35733,                0.63362,                0.79662,             0.00078103,             0.00078103,             0.00078103
                     47,                0.40857,                0.60729,                 1.0804,                0.81717,                0.87317,                0.91886,                0.87808,                 0.3273,                0.60959,                 0.7669,              0.0007737,              0.0007737,              0.0007737
                     48,                0.39644,                0.58783,                 1.0655,                0.88332,                0.86902,                0.93328,                0.88241,                0.34467,                0.56379,                0.78507,             0.00076637,             0.00076637,             0.00076637
                     49,                 0.4172,                0.59064,                  1.079,                  0.789,                0.82552,                0.90721,                0.84808,                0.38563,                0.65205,                0.81331,             0.00075904,             0.00075904,             0.00075904
                     50,                  0.389,                0.58263,                 1.0636,                0.82782,                0.85049,                0.92548,                0.88172,                0.33842,                0.60735,                0.77587,              0.0007517,              0.0007517,              0.0007517
                     51,                0.39878,                0.56866,                 1.0658,                0.86537,                0.84333,                0.93354,                0.88257,                0.34685,                0.54722,                0.76586,             0.00074437,             0.00074437,             0.00074437
